person_id;exercise;time;x;y;z
2;3;0.001528917;-5.873186646;2.098935242;10.61472656
2;3;0.011529917;-5.758076019;2.328108673;11.36556519
2;3;0.021530917;-5.403313751;2.16928894;11.84905975
2;3;0.031530917;-4.893473969;1.925745392;12.55259674
2;3;0.041531917;-3.939507751;1.920955353;13.35118607
2;3;0.051532917;-2.786455536;1.98098053;13.19206696
2;3;0.061533917;-1.985321503;1.719474335;12.51981491
2;3;0.071533917;-1.108444977;1.141077118;11.36766083
2;3;0.081534917;-1.497785339;1.344354401;10.55006104
2;3;0.091535917;-1.227597198;2.00552948;9.708960114
2;3;0.101535917;-0.960851898;2.012864227;9.162745972
2;3;0.111536917;-0.901874542;1.480271759;8.987161102
2;3;0.121537917;-0.903820496;0.605041809;9.275611267
2;3;0.131538917;-1.361568604;-0.276325378;9.659413147
2;3;0.141538917;-2.126328278;-0.942889252;9.188941498
2;3;0.151539917;-2.562670898;-1.146316223;8.121810608
2;3;0.161540917;-2.893183594;-1.023272095;7.54476059
2;3;0.171540917;-2.931204529;-1.143322449;7.65582962
2;3;0.181541917;-2.629282379;-1.244811401;7.746990051
2;3;0.191542917;-2.456990662;-1.166075134;7.421716461
2;3;0.201542917;-1.883682861;-1.337468719;6.979386292
2;3;0.211543917;-1.177002411;-1.379830627;6.514153748
2;3;0.221544917;-1.041085052;-1.330583038;6.054160309
2;3;0.231545917;-1.152752838;-0.937500458;5.415887604
2;3;0.241545917;-1.069226532;-0.296832733;4.817731476
2;3;0.251546917;-1.053808594;-0.068407745;4.461322632
2;3;0.261547917;-2.496059418;-0.541573792;3.286415863
2;3;0.271547917;-10.34304153;-6.024372253;8.542136536
2;3;0.281548917;-18.99804337;-12.82083893;16.26876892
2;3;0.291549917;-10.10338989;-4.481231232;11.91402466
2;3;0.301550917;-2.755769348;1.435514832;5.485492859
2;3;0.311550917;-0.711171112;0.254770203;5.034630432
2;3;0.321551917;-0.20477417;-0.439635773;6.73030426
2;3;0.331552917;-1.941762085;-0.481249237;7.967331848
2;3;0.341552917;-3.70913681;-1.808539124;10.3647464
2;3;0.351553917;-4.132606201;-3.005450134;10.60903839
2;3;0.361554917;-3.582500153;-2.925815735;9.052126007
2;3;0.371555917;-2.130369873;-2.752925262;10.43674667
2;3;0.381555917;-0.407602386;-2.549049225;12.71875122
2;3;0.391556917;0.452059937;-2.224524078;7.406148834
2;3;0.401557917;1.048868866;-2.212848358;8.292605438
2;3;0.411557917;-0.864003296;-3.109633484;11.96177536
2;3;0.421558917;-1.165925446;-3.096760254;11.37140305
2;3;0.431559917;1.450783081;-2.2746698;9.543554077
2;3;0.441559917;1.35962265;-3.870950317;7.707771606
2;3;0.451560917;-0.471369781;-5.699248352;7.746690674
2;3;0.461561917;-0.293090515;-5.726791077;9.437125397
2;3;0.471562917;0.689466248;-5.908812561;8.811725922
2;3;0.481562917;0.771645355;-7.115603027;8.350534973
2;3;0.491563917;1.488504639;-8.836424561;8.187973022
2;3;0.501564917;2.661465454;-9.883646851;9.987680511
2;3;0.511564917;1.929337921;-10.35830978;9.327852631
2;3;0.521565917;3.49148941;-10.09785141;7.77049118
2;3;0.531566917;4.605772247;-10.42926224;7.43937973
2;3;0.541567917;5.37532196;-10.77234879;7.500752106
2;3;0.551567917;6.220464478;-10.66427353;7.443121948
2;3;0.561568917;6.43077713;-10.81246536;8.448581085
2;3;0.571569917;6.587950287;-11.02232895;8.690777435
2;3;0.581569917;7.914342041;-10.41863434;7.515271912
2;3;0.591570917;9.281598816;-10.01672012;6.300547943
2;3;0.601571917;9.946965179;-10.2479892;6.053711243
2;3;0.611572917;9.673483887;-10.48629364;7.222630463
2;3;0.621572917;9.24956543;-10.85886887;9.000184021
2;3;0.631573917;9.535171509;-10.88581284;9.323811035
2;3;0.641574917;10.53673874;-10.40067169;8.352929993
2;3;0.651574917;11.37514526;-9.911938019;7.294031982
2;3;0.661575917;11.58934982;-10.03483246;6.703959045
2;3;0.671576917;11.41481277;-10.82952988;6.670578461
2;3;0.681576917;12.31743576;-11.44475052;6.84272049
2;3;0.691577917;14.06939255;-11.79127991;6.776558075
2;3;0.701578917;15.54068298;-12.33060837;6.761738892
2;3;0.711579917;16.53985519;-13.18039124;7.451953583
2;3;0.721579917;16.6498764;-13.4303714;9.176068268
2;3;0.731580917;16.294216;-12.77323792;9.398505707
2;3;0.741581917;16.11818207;-11.61135406;8.5240242
2;3;0.751581917;15.01452713;-11.26707001;8.659043427
2;3;0.761582917;14.01325928;-11.71613617;9.874665527
2;3;0.771583917;13.5007251;-12.28390549;10.67804489
2;3;0.781584917;13.56329498;-12.62594421;11.03235809
2;3;0.791584917;13.12710205;-13.02336777;10.75318863
2;3;0.801585917;12.89493484;-12.72458908;10.31849258
2;3;0.811586917;12.89328827;-11.49519562;9.564211121
2;3;0.821586917;11.85295166;-9.390721893;8.916208649
2;3;0.831587917;10.74914703;-7.241491241;8.751850433
2;3;0.841588917;9.119485931;-6.177952881;8.799750824
2;3;0.851588917;7.83485733;-6.125561829;10.4470752
2;3;0.861589917;6.546037445;-6.419400787;12.44332397
2;3;0.871590917;6.409970398;-5.178331604;12.2744751
2;3;0.881591917;6.722520447;-3.052153015;10.91365494
2;3;0.891595042;6.787036285;-1.568139038;9.525591431
