person_id;exercise;time;x;y;z
1;1;-0,000991333;-1,153052216;6,319558411;6,972051544
1;1;0,009008667;-1,150657196;6,622229004;7,01935318
1;1;0,019008667;-1,234333191;6,399342499;7,358398132
1;1;0,029008667;-1,368903351;6,414760437;7,656128998
1;1;0,039008667;-1,378633118;6,464606781;7,713010712
1;1;0,049008667;-1,261726227;6,378535767;7,770042114
1;1;0,059008667;-1,174008636;6,265071716;7,736062775
1;1;0,069008667;-1,021326141;6,214925995;7,518714752
1;1;0,079008667;-1,08344696;6,562952271;7,485483856
1;1;0,089008667;-1,361119537;6,287225647;7,657176819
1;1;0,099008667;-1,214723969;5,722001038;7,81614624
1;1;0,109008667;-0,956061859;5,921236725;7,182962952
1;1;0,119008667;-0,877624969;6,727759552;6,703360291
1;1;0,129008667;-1,147064667;6,714137878;6,778953094
1;1;0,139008458;-1,072669373;6,428531799;7,347321167
1;1;0,149008458;-1,132245483;6,272556152;7,573650513
1;1;0,159008458;-1,105151825;6,246660004;7,661368103
1;1;0,169008458;-1,009351044;6,053112488;7,684270477
1;1;0,179008458;-0,912203064;5,944139099;7,44177475
1;1;0,189008458;-0,745000763;6,080655212;7,24283844
1;1;0,199008458;-0,68332901;6,075565796;7,059918823
1;1;0,209008458;-0,617615662;6,053411865;6,960525513
1;1;0,219008458;-0,621657257;6,000122681;6,794520721
1;1;0,229008458;-0,700243835;5,891298981;6,519542542
1;1;0,239008458;-0,809217224;5,867049408;6,351292419
1;1;0,249008458;-0,789907379;5,957162018;6,537954254
1;1;0,259008458;-0,677940216;6,041885834;7,022496643
1;1;0,269008458;-0,633183289;5,958209839;7,542215881
1;1;0,279008458;-0,767454071;5,824537811;8,035440216
1;1;0,289008458;-0,949176178;5,654192047;8,250842285
1;1;0,299008458;-1,025068359;5,585484924;8,317304077
1;1;0,309008458;-0,942739563;5,589825897;8,180189209
1;1;0,319009458;-0,899030457;5,589676208;7,978408813
1;1;0,329009458;-0,87403244;5,767805786;7,787705383
1;1;0,339009458;-0,90441925;5,969586182;7,578739929
1;1;0,349009458;-1,027164001;6,014043732;7,232958984
1;1;0,359009458;-1,156644745;6,011349335;6,814129944
1;1;0,369009458;-1,211730194;5,994584198;6,504423981
1;1;0,379009458;-1,26486969;5,90536972;6,302194519
1;1;0,389009458;-1,329535217;5,755381622;6,271059265
1;1;0,399009458;-1,373394012;5,542075195;6,46355896
1;1;0,409009458;-1,436562653;5,32502655;6,76772644
1;1;0,419009458;-1,547332306;5,285508728;7,126829681
1;1;0,429009458;-1,761237488;5,336851959;7,588170319
1;1;0,439009458;-1,946552124;5,225333862;8,08064621
