time;x;y;z;absolute
0.000175333;2.774779816;3.778143311;7.804320831;9.103910892
0.010176333;2.953657837;3.752995605;7.92377243;9.251769569
0.020176333;2.878963165;3.442990265;8.012088776;9.183473059
0.030177333;2.672392731;3.450325012;7.977510681;9.09324487
0.040178333;2.477647705;3.67755249;7.760162659;8.937743281
0.050178333;2.361040192;3.768413544;7.674091644;8.869449475
0.060179333;2.172731781;3.702251129;7.698640594;8.814561465
0.070180333;1.90493866;3.656296692;7.631729736;8.674133707
0.080181333;1.593885498;3.715573425;7.459887085;8.485038137
0.090181333;1.398092651;3.660637665;7.345524902;8.325362891
0.100182333;1.168769531;3.556604004;7.270680542;8.177912313
0.110183333;1.076112213;3.413351898;7.425907745;8.243366698
0.120184333;1.14197525;3.406765594;7.794141998;8.582471018
0.130184333;1.190624084;3.516038361;8.109536133;8.918782863
0.140185333;1.183439026;3.468886414;8.275840302;9.051145429
0.150186333;1.457219696;2.96144165;8.158933411;8.801239702
0.160186333;1.738185425;2.533780975;7.778274994;8.363186981
0.170187333;1.581461334;3.460503845;8.250542908;9.085569057
0.180188333;2.650089111;3.780388641;8.305927734;9.502775705
0.190189333;2.577190704;3.464395752;8.312813416;9.367327086
0.200189333;2.660267944;2.885549469;9.212592316;10.01375446
0.210190333;2.610271912;2.244432678;9.449699249;10.05722692
0.220191333;2.538571014;2.25356369;9.335037689;9.933067037
0.230192333;2.813698883;2.34607132;8.919352112;9.642395664
0.240192333;2.935545502;2.981649628;8.449778595;9.429020108
0.250193333;3.892206116;2.718945923;9.001680908;10.17704252
0.260194333;4.727768555;2.112706604;10.52176987;11.72701863
0.270195333;4.35743866;2.129172363;11.73814041;12.70057428
0.280195333;3.822900238;2.47001358;12.55663834;13.35607351
0.290196333;3.275787964;3.295846252;12.63058456;13.4582709
0.300197333;3.269950104;3.402125244;12.54705826;13.40506251
0.310197333;3.281326447;2.459834747;12.04724762;12.72611745
0.320198333;3.810176697;1.342707825;8.095166016;9.047210818
0.330199333;5.148094482;1.020727386;5.496869202;7.600021856
0.340200333;6.912475433;0.474812622;5.899681549;9.100220109
0.350200333;9.618398438;-0.297431488;5.964796143;11.32169806
0.360201333;10.62999481;-1.434616699;5.266198883;11.94938348
0.370202333;8.445886688;-0.656235352;4.767436066;9.720704369
0.380203333;7.494165802;1.27774292;5.417833557;9.335312983
0.390203333;8.780440979;2.345771942;5.765710144;10.76300159
0.400204333;9.874216461;2.65727417;5.896538086;11.80383066
0.410205333;9.954299927;3.016078033;4.813540192;11.46102015
0.420205333;8.484356689;2.656825104;5.542823639;10.47692331
0.430206333;6.702312469;1.963466949;7.805218964;10.47366402
0.440207333;5.981860657;1.829046478;7.156168671;9.504673481
0.450208333;6.389463043;2.010618896;4.832101593;8.259360274
0.460208333;6.267167358;2.031575317;3.967200165;7.690472165
0.470209333;5.090164948;1.655557251;5.607339478;7.751961366
0.480210333;4.364174652;1.386267242;6.501130829;7.95188401
0.490211333;4.224664764;1.642983398;5.639372864;7.23531016
