time;x;y;z;absolute
0.001528917;-5.873186646;2.098935242;10.61472656;12.31146906
0.011529917;-5.758076019;2.328108673;11.36556519;12.95189567
0.021530917;-5.403313751;2.16928894;11.84905975;13.20234188
0.031530917;-4.893473969;1.925745392;12.55259674;13.60963878
0.041531917;-3.939507751;1.920955353;13.35118607;14.05218702
0.051532917;-2.786455536;1.98098053;13.19206696;13.62788497
0.061533917;-1.985321503;1.719474335;12.51981491;12.79233594
0.071533917;-1.108444977;1.141077118;11.36766083;11.47843282
0.081534917;-1.497785339;1.344354401;10.55006104;10.74031832
0.091535917;-1.227597198;2.00552948;9.708960114;9.989647134
0.101535917;-0.960851898;2.012864227;9.162745972;9.430311369
0.111536917;-0.901874542;1.480271759;8.987161102;9.152794483
0.121537917;-0.903820496;0.605041809;9.275611267;9.339161175
0.131538917;-1.361568604;-0.276325378;9.659413147;9.758815867
0.141538917;-2.126328278;-0.942889252;9.188941498;9.478763524
0.151539917;-2.562670898;-1.146316223;8.121810608;8.59331895
0.161540917;-2.893183594;-1.023272095;7.54476059;8.144999045
0.171540917;-2.931204529;-1.143322449;7.65582962;8.277129538
0.181541917;-2.629282379;-1.244811401;7.746990051;8.275175896
0.191542917;-2.456990662;-1.166075134;7.421716461;7.904328533
0.201542917;-1.883682861;-1.337468719;6.979386292;7.351796835
0.211543917;-1.177002411;-1.379830627;6.514153748;6.761912916
0.221544917;-1.041085052;-1.330583038;6.054160309;6.285472644
0.231545917;-1.152752838;-0.937500458;5.415887604;5.616011463
0.241545917;-1.069226532;-0.296832733;4.817731476;4.943874151
0.251546917;-1.053808594;-0.068407745;4.461322632;4.584603778
0.261547917;-2.496059418;-0.541573792;3.286415863;4.162228251
0.271547917;-10.34304153;-6.024372253;8.542136536;14.70508979
0.281548917;-18.99804337;-12.82083893;16.26876892;28.10644774
0.291549917;-10.10338989;-4.481231232;11.91402466;16.25127393
0.301550917;-2.755769348;1.435514832;5.485492859;6.304411109
0.311550917;-0.711171112;0.254770203;5.034630432;5.090989668
0.321551917;-0.20477417;-0.439635773;6.73030426;6.747755739
0.331552917;-1.941762085;-0.481249237;7.967331848;8.214646529
0.341552917;-3.70913681;-1.808539124;10.3647464;11.15600634
0.351553917;-4.132606201;-3.005450134;10.60903839;11.77551953
0.361554917;-3.582500153;-2.925815735;9.052126007;10.16541639
0.371555917;-2.130369873;-2.752925262;10.43674667;11.00194321
0.381555917;-0.407602386;-2.549049225;12.71875122;12.97807475
0.391556917;0.452059937;-2.224524078;7.406148834;7.746218827
0.401557917;1.048868866;-2.212848358;8.292605438;8.646625279
0.411557917;-0.864003296;-3.109633484;11.96177536;12.38952751
0.421558917;-1.165925446;-3.096760254;11.37140305;11.84306183
0.431559917;1.450783081;-2.2746698;9.543554077;9.91757625
0.441559917;1.35962265;-3.870950317;7.707771606;8.731699333
0.451560917;-0.471369781;-5.699248352;7.746690674;9.628854431
0.461561917;-0.293090515;-5.726791077;9.437125397;11.04270682
0.471562917;0.689466248;-5.908812561;8.811725922;10.63183631
0.481562917;0.771645355;-7.115603027;8.350534973;10.99812154
0.491563917;1.488504639;-8.836424561;8.187973022;12.13840794
0.501564917;2.661465454;-9.883646851;9.987680511;14.30117602
0.511564917;1.929337921;-10.35830978;9.327852631;14.07216263
0.521565917;3.49148941;-10.09785141;7.77049118;13.21126923
0.531566917;4.605772247;-10.42926224;7.43937973;13.61348668
0.541567917;5.37532196;-10.77234879;7.500752106;14.18445863
0.551567917;6.220464478;-10.66427353;7.443121948;14.41599711
0.561568917;6.43077713;-10.81246536;8.448581085;15.15397057
0.571569917;6.587950287;-11.02232895;8.690777435;15.50556148
0.581569917;7.914342041;-10.41863434;7.515271912;15.0885408
0.591570917;9.281598816;-10.01672012;6.300547943;15.03927069
0.601571917;9.946965179;-10.2479892;6.053711243;15.51163495
0.611572917;9.673483887;-10.48629364;7.222630463;15.99077971
0.621572917;9.24956543;-10.85886887;9.000184021;16.86632165
0.631573917;9.535171509;-10.88581284;9.323811035;17.21493157
0.641574917;10.53673874;-10.40067169;8.352929993;16.99906687
0.651574917;11.37514526;-9.911938019;7.294031982;16.75838141
0.661575917;11.58934982;-10.03483246;6.703959045;16.73182473
0.671576917;11.41481277;-10.82952988;6.670578461;17.0901517
0.681576917;12.31743576;-11.44475052;6.84272049;18.15280589
0.691577917;14.06939255;-11.79127991;6.776558075;19.56792855
0.701578917;15.54068298;-12.33060837;6.761738892;20.95895616
0.711579917;16.53985519;-13.18039124;7.451953583;22.42367354
0.721579917;16.6498764;-13.4303714;9.176068268;23.27645783
0.731580917;16.294216;-12.77323792;9.398505707;22.73739192
0.741581917;16.11818207;-11.61135406;8.5240242;21.6166215
0.751581917;15.01452713;-11.26707001;8.659043427;20.67273384
0.761582917;14.01325928;-11.71613617;9.874665527;20.7641109
